seqName	clade
BQ.1.12	22E
BQ.1.11.1	22E
BQ.1.13.1	22E
BQ.1.5	22E
BQ.1.14	22E
BQ.1.15.1	22E
BQ.1.23	22E
BQ.1.15.2	22E
BQ.1.16	22E
BQ.1.19	22E
BQ.1.17	22E
BQ.1.18	22E
BQ.1.20	22E
BQ.1.22	22E
BQ.1.21	22E
BQ.1.26	22E
BQ.1.26.2	22E
BQ.1.25.1	22E
BQ.1.25	22E
BQ.1.26.1	22E
BQ.1.32	22E
BQ.1.27	22E
BQ.1.29	22E
BQ.1.30	22E
BQ.1.31	22E
BQ.1.33	22E
BQ.2	22B
BQ.1.28	22E
BR.1.2	22D
BR.2	22D
BR.1	22D
BR.2.1	22D
BT.2	22B
BR.3	22D
BR.4	22D
BQ.1.24	22E
BT.1	22B
BR.5	22D
BS.1	21L
BR.5.1	22D
BS.1.1	21L
BU.2	22B
BU.3	22B
BV.1	22B
BV.2	22B
BW.1	22B
BW.1.1	22B
BY.1.1	22D
BW.1.1.1	22B
BY.1	22D
BW.1.2	22B
BW.1.1.2	22B
C.1	20D
C.4	20D
C.2.1	20D
C.1.2	20D
C.33	20D
BY.1.1.1	22D
C.16	20D
C.13	20D
C.14	20D
BZ.2	22B
BY.1.2	22D
BU.1	22B
C.23	20D
C.36	20D
C.35	20D
C.32	20D
C.26	20D
C.36.3	20D
C.36.3.1	20D
C.37	21G
C.37.1	21G
C.38	20D
CA.2	22D
CA.7	22D
CA.1	22D
CA.3	22D
CA.5	22D
BZ.1	22B
CA.6	22D
CA.3.1	22D
CD.1	22B
CF.1	22B
CG.1	22B
CD.2	22B
CE.1	22B
CB.1	22D
CH.1	22D
CH.1.1.4	23C
CH.1.1	23C
CH.1.1.1	23C
CH.1.1.3	23C
CH.1.1.2	23C
CH.1.1.5	23C
CH.1.1.8	23C
CH.1.1.10	23C
CH.1.1.6	23C
CH.1.1.7	23C
CH.1.1.11	23C
CH.1.1.19	23C
CH.1.1.9	23C
CC.1	22B
CH.1.1.12	23C
CH.1.1.13	23C
CH.1.1.15	23C
CH.1.1.16	23C
CH.1.1.17	23C
CH.1.1.18	23C
CH.1.1.20	23C
CH.1.1.21	23C
CH.1.1.22	23C
CH.1.1.23	23C
CH.1.1.14	23C
CH.1.1.27	23C
CH.1.1.28	23C
CH.1.1.24	23C
CH.1.1.30	23C
CH.1.1.29	23C
CH.1.1.26	23C
CH.1.1.25	23C
CJ.1	22D
CH.2	22D
CH.3.1	22D
CJ.1.1	22D
CJ.1.2	22D
CH.1.1.32	23C
CK.1	22B
CK.1.1.2	22B
CK.1.2	22B
CK.3	22B
CJ.1.3	22D
CK.1.4	22B
CK.1.5	22B
CK.1.3	22B
CK.2.1	22B
CK.2.1.1	22B
CL.1.1	22B
CL.1	22B
CL.1.2	22B
CK.2	22B
CL.1.3	22B
CM.1	21L
CM.2.1	21L
CM.3	21L
CM.5.2	21L
CM.4.1	21L
CM.5.1	21L
CM.5	21L
CM.7	21L
CM.6	21L
CM.6.1	21L
CM.7.1	21L
CN.1	22B
CM.7.1.1	21L
CM.8.1	21L
CM.8.1.2	21L
CM.8	21L
CM.2	21L
CM.9	21L
CM.11	21L
CM.10	21L
CM.8.1.3	21L
CM.12	21L
CM.4	21L
CM.8.1.4	21L
CP.3	22B
CN.2	22B
CP.1	22B
