count,date,nextcladePangoLineage,nextstrainClade
1,2024-07-31,MC.3,24E
1,2024-10-28,KP.1.1.3,24B
1,2025-03-23,MC.1.4,24E
1,2024-08-30,KR.1,24A
2,2024-04-16,XDK,recombinant
1,2024-10-04,KP.2.14,24B
1,2024-04-18,KP.3.3,24C
2,2024-09-19,XEF,recombinant
2,2024-10-24,MC.2,24E
1,2024-07-19,JN.1.65.1,24A
1,2024-12-20,MC.13.2.1,24E
1,2024-01-15,JY.1.1,23E
20,2024-05-28,KP.2.3,24G
1,2024-03-31,MZ.2,24A
10,2024-04-11,KQ.1,24A
1,2024-02-13,JN.1.30.1,24A
2,2024-07-12,KP.3.2.5,24C
14,2024-02-05,JN.1.18,24A
1,2025-01-03,LF.7.2,24H
1,2024-04-21,KP.2.9,24B
3,2024-02-14,JN.1.4.6,24A
1,2024-11-14,KP.2.3.12,24G
2,2024-04-10,JN.1.9,24A
3,2024-01-11,JG.3.1,23F
1,2024-07-21,MG.1,24B
1,2024-04-08,KW.1.1,24A
2,2024-10-07,NH.4,24B
