method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,3.649078421410953e-05,10.560781714649373,5000,50,50,0.4501441008267603,0.07142857142857142,1000
BFGS,4.396815516093536e-05,3.834458414410617,5000,50,50,0.5387881241315222,0.07142857142857142,1000
BFGS,4.4958065938368554e-05,9.070929184796183,5000,50,50,0.5290679867857032,0.07142857142857142,1000
BFGS,1.7864296399163555e-05,3.034493842933271,5000,50,50,0.5126262330664219,0.07142857142857142,1000
BFGS,3.131288314996588e-05,3.160017687942405,5000,50,50,0.5737288855367041,0.07142857142857142,1000
stepwiseBFGS,2.8916272764193884e-05,5.8747149190402785,5000,50,50,0.6311287903311829,0.07142857142857142,1000
stepwiseBFGS,1.4006523740217842e-05,1.6156794101367564,5000,50,50,0.6072564407151795,0.07142857142857142,1000
stepwiseBFGS,2.9939597244657077e-05,4.4453685612289515,5000,50,50,0.7426354521946797,0.07142857142857142,1000
stepwiseBFGS,2.477487069941327e-05,3.177586802765379,5000,50,50,0.5871265745075039,0.07142857142857142,1000
stepwiseBFGS,1.1614297024540808e-05,2.735151873214697,5000,50,50,0.6747817125775883,0.07142857142857142,1000
stepwiseBFGS,3.649887242568526e-05,10.5634043781508,5000,50,50,0.4501441008267603,0.07142857142857142,1000
stepwiseBFGS,4.398850142912763e-05,3.827638470959077,5000,50,50,0.5387881241315222,0.07142857142857142,1000
stepwiseBFGS,4.505044611700536e-05,9.100916048491092,5000,50,50,0.5290679867857032,0.07142857142857142,1000
stepwiseBFGS,1.788825155715965e-05,3.0375026794579263,5000,50,50,0.5126262330664219,0.07142857142857142,1000
stepwiseBFGS,3.131527769182664e-05,3.160243336674116,5000,50,50,0.5737288855367041,0.07142857142857142,1000
BFGS,1.8989179639490102e-05,2.710688677757374,10000,50,50,0.6311287903311829,0.07142857142857142,1000
BFGS,9.055243083116445e-06,1.0249476948659986,10000,50,50,0.6072564407151795,0.07142857142857142,1000
BFGS,1.1076068901275175e-05,2.456884117224433,10000,50,50,0.7426354521946797,0.07142857142857142,1000
BFGS,4.334078097035254e-06,0.6503854258069104,10000,50,50,0.5871265745075039,0.07142857142857142,1000
BFGS,7.403725260312068e-06,2.1568308336230526,10000,50,50,0.6747817125775883,0.07142857142857142,1000
BFGS,1.654377562207225e-05,5.327332582155168,10000,50,50,0.4501441008267603,0.07142857142857142,1000
BFGS,3.7717744991368995e-05,9.552650765970371,10000,50,50,0.5387881241315222,0.07142857142857142,1000
BFGS,9.247826362706909e-06,1.3985511878817039,10000,50,50,0.5290679867857032,0.07142857142857142,1000
BFGS,2.5008404041590636e-05,3.03493609326887,10000,50,50,0.5126262330664219,0.07142857142857142,1000
BFGS,1.9596310493809954e-05,2.2140266277336726,10000,50,50,0.5737288855367041,0.07142857142857142,1000
stepwiseBFGS,1.903519723402513e-05,2.7067262257661873,10000,50,50,0.6311287903311829,0.07142857142857142,1000
stepwiseBFGS,9.05276400200838e-06,1.0248663042221557,10000,50,50,0.6072564407151795,0.07142857142857142,1000
stepwiseBFGS,1.1074708348636714e-05,2.454774031190517,10000,50,50,0.7426354521946797,0.07142857142857142,1000
stepwiseBFGS,4.339501208206796e-06,0.6509861019660885,10000,50,50,0.5871265745075039,0.07142857142857142,1000
stepwiseBFGS,7.409618485089148e-06,2.1582692765730043,10000,50,50,0.6747817125775883,0.07142857142857142,1000
stepwiseBFGS,1.650501683965386e-05,5.303968879546089,10000,50,50,0.4501441008267603,0.07142857142857142,1000
stepwiseBFGS,3.7760178219503084e-05,9.560339306117404,10000,50,50,0.5387881241315222,0.07142857142857142,1000
stepwiseBFGS,9.251480382104999e-06,1.3988843060336258,10000,50,50,0.5290679867857032,0.07142857142857142,1000
stepwiseBFGS,2.4989427893729757e-05,3.0309835030833785,10000,50,50,0.5126262330664219,0.07142857142857142,1000
stepwiseBFGS,1.9603319532454893e-05,2.2146717073785713,10000,50,50,0.5737288855367041,0.07142857142857142,1000
